Date,Open,High,Low,Close,Adj Close,Volume
4/17/2008,13315.83008,13495.94043,13313.05957,13398.29981,13398.29981,127200
4/18/2008,13426.25977,13485.04004,13323.74023,13476.4502,13476.4502,102400
4/21/2008,13639.84961,13739.44043,13639.76953,13696.54981,13696.54981,124600
4/22/2008,13587.50977,13608.16992,13519.12012,13547.82031,13547.82031,100800
4/23/2008,13455.55957,13717.04981,13449.04004,13579.16016,13579.16016,112200
4/24/2008,13613.83008,13654.78027,13497.16016,13540.87012,13540.87012,108800
4/25/2008,13614.53027,13886.37012,13614.53027,13863.46973,13863.46973,127200
4/28/2008,13907.96973,14003.28027,13745.61035,13894.37012,13894.37012,139400
4/30/2008,13802.94043,13976.09961,13766.24023,13849.99023,13849.99023,143200
5/1/2008,13802.58984,13884.62988,13727.07031,13766.86035,13766.86035,110800
5/2/2008,13944.25977,14072.91992,13944.25977,14049.25977,14049.25977,114000
5/7/2008,14147.57031,14208.66992,14022.79004,14102.48047,14102.48047,139800
5/8/2008,14008.19043,14036.30957,13930.28027,13943.25977,13943.25977,120400
5/9/2008,13941.29981,13946.50977,13639.99023,13655.33984,13655.33984,130400
5/12/2008,13565.91016,13793.41016,13540.67969,13743.36035,13743.36035,103000
5/13/2008,13814.38965,13976.91992,13734.5,13953.73047,13953.73047,129200
5/14/2008,13961.95996,14121.94043,13877.40039,14118.54981,14118.54981,142400
5/15/2008,14167.01953,14352.83984,14167.01953,14251.74023,14251.74023,160200
5/16/2008,14363.62012,14392.53027,14194.91016,14219.48047,14219.48047,144200
5/19/2008,14294.51953,14343.19043,14219.08008,14269.61035,14269.61035,133800
5/20/2008,14220.12012,14286.66992,14121.91992,14160.08984,14160.08984,159800
5/21/2008,14002.51953,14041.24023,13847.17969,13926.29981,13926.29981,160200
5/22/2008,13772.65039,13984.80957,13658.01953,13978.45996,13978.45996,159200
5/23/2008,13945.09961,14157.24023,13925.37988,14012.2002,14012.2002,146400
5/26/2008,13875.98047,13883.50977,13670.91992,13690.19043,13690.19043,117800
5/27/2008,13750.82031,13931.23047,13750.82031,13893.30957,13893.30957,100200
